FIPS,State,County,MedHHInc2014,PerCapitaInc,PovertyUnder18Pct2014,PovertyAllAgesPct2014
0,US,United States,53657,28555,21.7,15.5
1000,AL,Alabama,42917,23936,27.4,19.2
1001,AL,Autauga,54366,24644,18.1,13.1
1003,AL,Baldwin,49626,26851,19.8,13
1005,AL,Barbour,34971,17350,38.1,25.4
1007,AL,Bibb,39546,18110,26.8,18.1
1009,AL,Blount,45567,20501,24.1,17.5
1011,AL,Bullock,26580,17706,43.1,35.1
1013,AL,Butler,32512,18115,36.7,25
1015,AL,Calhoun,41123,21306,28.1,20.5
1017,AL,Chambers,34116,21240,31.6,21.3
1019,AL,Cherokee,38013,22234,27.9,18.6
1021,AL,Chilton,41450,21718,27.6,18.1
1023,AL,Choctaw,35049,21268,31.9,25
1025,AL,Clarke,36620,20022,33.7,24.9
1027,AL,Clay,35940,18957,28.9,19.5
1029,AL,Cleburne,40418,19736,24.8,17
1031,AL,Coffee,46931,24204,25,16.8
1033,AL,Colbert,43057,21763,25.3,16.7
1035,AL,Conecuh,29101,15441,41.2,30.6
1037,AL,Coosa,34679,17749,29,18.8
1039,AL,Covington,36149,20941,30.2,20.8
1041,AL,Crenshaw,34445,20366,28,21.2
1043,AL,Cullman,39922,21105,23.5,17.2
1045,AL,Dale,41940,22368,33.5,22.4
1047,AL,Dallas,26602,17614,49.5,35.2
1049,AL,DeKalb,36241,18416,36.5,24
1051,AL,Elmore,54298,24185,20.7,14.4
1053,AL,Escambia,37077,16673,31.6,25.1
1055,AL,Etowah,39904,20445,29.5,19
1057,AL,Fayette,35664,19040,29.2,20.6
1059,AL,Franklin,33881,18559,35.5,23.1
1061,AL,Geneva,34425,20027,36.4,23.9
1063,AL,Greene,26504,13956,45.7,33.2
1065,AL,Hale,33315,18774,36.8,28.1
1067,AL,Henry,39930,22682,27.4,17.3
1069,AL,Houston,40124,23492,31.1,20.1
1071,AL,Jackson,36923,20055,28.8,22
1073,AL,Jefferson,44852,26896,29.4,19.5
1075,AL,Lamar,34553,19094,28.3,20.6
1077,AL,Lauderdale,41324,23975,26.3,18.7
1079,AL,Lawrence,41574,21093,23.2,16.6
1081,AL,Lee,41256,24126,26.4,25.2
1083,AL,Limestone,51175,25658,18.9,13.6
1085,AL,Lowndes,30675,18046,42.7,31.4
1087,AL,Macon,28518,17113,44.4,32.1
1089,AL,Madison,58833,32307,20.3,14.2
1091,AL,Marengo,32977,22529,32.7,25.6
1093,AL,Marion,37707,20125,26.4,20.2
1095,AL,Marshall,36536,20975,33.3,22
1097,AL,Mobile,42943,23009,29.8,19.6
1099,AL,Monroe,34733,16273,33.3,25.3
1101,AL,Montgomery,43054,25089,32.2,22.5
1103,AL,Morgan,45082,24222,23.4,15
1105,AL,Perry,27403,12988,65.9,46.9
1107,AL,Pickens,31933,17310,34.5,25
1109,AL,Pike,31844,19424,34,26.4
1111,AL,Randolph,36939,19324,29.8,20.4
1113,AL,Russell,35585,19652,30.3,20.9
1115,AL,St. Clair,50571,23863,18.5,14.3
1117,AL,Shelby,69432,33135,11.7,9.6
1119,AL,Sumter,25413,14042,51.1,38.1
1121,AL,Talladega,39999,19134,32.7,22.5
1123,AL,Tallapoosa,36779,21034,34.1,21.3
1125,AL,Tuscaloosa,46892,23124,23.2,18
1127,AL,Walker,37245,20580,32.9,23.5
1129,AL,Washington,41321,20737,26.7,18.5
1131,AL,Wilcox,24035,13881,47.1,33.7
1133,AL,Winston,35528,19078,32,20.1
2000,AK,Alaska,70898,33129,15.5,11.4
2010,AK,Aleutian Islands,,,,
2013,AK,Aleutians East,55462,27122,15.6,16.2
2016,AK,Aleutians West,68387,32700,9.7,9.9
2020,AK,Anchorage,75200,36508,14.2,10
2050,AK,Bethel,45808,18875,31.7,23.8
