FIPS,State,County,PopChangeRate1415,PopChangeRate1015,TotalPopEst2015,TotalPopEst2014
0,US,United States,0.79,4.1,321418820,318907401
1000,AL,Alabama,0.26,1.65,4858979,4846411
1001,AL,Autauga,0.1,1.42,55347,55290
1003,AL,Baldwin,2,11.77,203709,199713
1005,AL,Barbour,-1.22,-3.53,26489,26815
1007,AL,Bibb,0.15,-1.47,22583,22549
1009,AL,Blount,0.03,0.61,57673,57658
1011,AL,Bullock,-1.23,-2.01,10696,10829
1013,AL,Butler,-0.6,-3.78,20154,20276
1015,AL,Calhoun,-0.32,-2.5,115620,115993
1017,AL,Chambers,0.21,-0.14,34123,34052
1019,AL,Cherokee,-0.52,-0.49,25859,25995
1021,AL,Chilton,0.05,0.72,43943,43921
1023,AL,Choctaw,-0.9,-4.96,13170,13289
1025,AL,Clarke,-0.69,-4.51,24675,24847
1027,AL,Clay,0.13,-2.71,13555,13538
1029,AL,Cleburne,-0.36,0.31,15018,15072
1031,AL,Coffee,0.75,2.53,51211,50831
1033,AL,Colbert,-0.23,-0.14,54354,54480
1035,AL,Conecuh,0.08,-4.2,12672,12662
1037,AL,Coosa,-0.77,-8.79,10724,10807
1039,AL,Covington,-0.14,0.19,37835,37888
1041,AL,Crenshaw,0.11,0.41,13963,13948
1043,AL,Cullman,0.97,1.98,82005,81221
1045,AL,Dale,0.13,-1.37,49565,49501
1047,AL,Dallas,-1.27,-6.14,41131,41662
1049,AL,DeKalb,0.17,0.02,71130,71012
1051,AL,Elmore,0.55,2.74,81468,81022
1053,AL,Escambia,0.01,-1.38,37789,37784
1055,AL,Etowah,-0.38,-1.31,103057,103452
1057,AL,Fayette,-0.49,-2.8,16759,16842
1059,AL,Franklin,0.33,-0.04,31696,31592
1061,AL,Geneva,0.26,-0.05,26777,26707
1063,AL,Greene,-0.87,-6.26,8479,8553
1065,AL,Hale,-0.42,-4.39,15068,15131
1067,AL,Henry,0.26,-0.47,17221,17176
1069,AL,Houston,0.06,2.59,104173,104110
1071,AL,Jackson,-0.4,-1.52,52419,52631
1073,AL,Jefferson,0,0.31,660367,660368
